name,regime,sublabel,n,code_bytes,base_rate,ece_always_benign,ece_oracle,ece_mmae,ece_clf,ece_rule,ece_guard,region_ent,mmae_pick,mmae_nis_pick,clf_pick,rule_pick,guard_pick,s_glob_benign_eng,s_spat_benign_eng,s_glob_packed_eng,s_glob_obf_eng,nis_benign_eng,nis_packed_eng,nis_obf_eng
gcc_coreutils_64_O0_kill,benign,clean,20233,22364,0.299659,0.003518,0.003518,0.003518,0.003518,0.003518,0.003518,5.773954,benign,benign,benign,benign,benign,1.019245,0.052562,1.019245,1.286969,506.636260,506.636260,836.552221
gcc_coreutils_64_O2_false,benign,clean,10153,11132,0.279819,0.004263,0.004263,0.004263,0.279819,0.279819,0.004263,6.186658,benign,benign,packed,packed,benign,0.654416,0.117406,0.654416,0.932326,433.363745,433.363745,752.144057
gcc_coreutils_64_O3_sha224sum,benign,clean,38141,41372,0.282295,0.001478,0.001478,0.001478,0.001478,0.001478,0.001478,6.351234,benign,benign,benign,benign,benign,0.573017,0.037690,0.573017,0.859927,403.871402,403.871402,757.759055
gcc_coreutils_64_O3_getlimits,benign,clean,37694,41196,0.258158,0.001595,0.001595,0.001595,0.001595,0.001595,0.001595,6.107791,benign,benign,benign,benign,benign,0.618895,0.068294,0.618895,0.902185,428.482513,428.482513,776.697696
icc_coreutils_64_O0_env,benign,clean,18439,20348,0.297413,0.003828,0.003828,0.003828,0.003828,0.003828,0.003828,5.616060,benign,benign,benign,benign,benign,0.972754,0.055801,0.972754,1.242047,490.085445,490.085445,822.823307
icc_coreutils_64_O2_stdbuf,benign,clean,41281,45964,0.265643,0.002822,0.002822,0.265643,0.002822,0.002822,0.002822,6.154161,packed,packed,benign,benign,benign,0.613313,0.078970,0.613308,0.867121,402.535052,402.529477,718.627735
icc_coreutils_64_O0_cut,benign,clean,31082,33996,0.294704,0.002615,0.002615,0.002615,0.002615,0.002615,0.002615,5.608528,benign,benign,benign,benign,benign,0.818947,0.074769,0.818947,1.087047,421.886001,421.886001,766.099891
gcc_coreutils_64_O2_stat,benign,clean,44558,49852,0.273150,0.003495,0.003495,0.273150,0.003495,0.003495,0.003495,6.208057,packed,packed,benign,benign,benign,0.623347,0.085047,0.623343,0.863626,362.108452,362.104933,660.294377
icc_coreutils_64_O1_runcon,benign,clean,15173,16476,0.275028,0.002816,0.002816,0.002816,0.002816,0.002816,0.002816,6.203873,benign,benign,benign,benign,benign,0.579444,0.067962,0.579444,0.865027,401.559713,401.559713,748.372708
gcc_coreutils_64_O2_csplit,benign,clean,76132,83228,0.267811,0.002373,0.002373,0.267811,0.002373,0.002373,0.002373,6.209081,packed,packed,benign,benign,benign,0.669180,0.072882,0.669171,0.971315,482.139072,482.131530,836.923197
icc_coreutils_64_O1_realpath,benign,clean,35715,38572,0.273303,0.003107,0.003107,0.003107,0.003107,0.003107,0.003107,6.158844,benign,benign,benign,benign,benign,0.531472,0.036260,0.531472,0.817662,396.681780,396.681780,766.660770
icc_coreutils_64_O2_dir,benign,clean,61575,67900,0.274803,0.003970,0.003970,0.274803,0.003970,0.003970,0.003970,6.290703,packed,packed,benign,benign,benign,0.592722,0.098739,0.592721,0.856527,404.260487,404.258402,724.417779
gcc_coreutils_64_O2_tail,benign,clean,35603,39308,0.275735,0.002390,0.002390,0.275735,0.002390,0.002390,0.002390,6.243824,packed,packed,benign,benign,benign,0.602486,0.056009,0.602486,0.871852,437.563256,437.563137,764.189250
